,text
14,"Au Sénégal, le taux d’inflation s’est établi à +9,7% en 2022, après 2,2% l’année précédente. La tension sur les prix à la consommation est induite principalement par la hausse des prix des produits alimentaires résultant notamment de celle des cours mondiaux des matières premières de base. De même, la hausse des prix de certaines fonctions de consommation, telles que les « meubles, articles de ménage et entretien courant du foyer », les biens et services de « transports »,  de « restaurants et hôtels », « d’enseignement », ainsi que de « logement, eau, gaz, électricité et autres combustibles » ont aussi concouru au relèvement des prix intérieurs."
15,"Dans le cadre du projet « comptabilité économique et environnementale pour une politique factuelle au Sénégal » en collaboration avec la Division de Statistique des Nations Unies (UNSD), le Sénégal a compilé les comptes de l’occupation des sols de 2010 et 2015."
16,"Au mois de mars 2023, les exportations du Sénégal se sont établies à 327,6 milliards de FCFA contre 252,8 milliards de FCFA au mois précédent, soit une augmentation de 29,6%. Comparées au mois de mars 2022, les expéditions ont chuté de 3,8%. Leur cumul sur le premier trimestre 2023 s’est établi à 958,4 milliards de FCFA contre 840,0 milliards de FCFA pour la même période de 2022, soit une augmentation de 14,1%."
17,"Au mois de mars 2023, les prix des produits à l’importation ont augmenté de 2,4%, comparés au mois précédent. Par rapport au mois de mars 2022, les prix des produits importés ont progressé de 20,6%. Sur les trois premiers mois de 2023, les produits achetés de l’extérieur se sont renchéris de 18,7%, en comparaison à ceux de la même période de 2022."
18,"Les prix à la consommation du mois d’avril 2023 se sont relevés de 0,5%, comparés à ceux du mois précédent. Cette évolution résulte, principalement, de la hausse des prix des « produits alimentaires et boissons non alcoolisées » (+1,2%) et, dans une moindre mesure, des « biens et services divers » (+0,6%), des « articles d'habillement et chaussures » (+0,5%), ainsi que des « boissons alcoolisées, tabac et stupéfiants » (+0,4%). Toutefois, le repli des prix des services de « logement, eau, gaz, électricité et autres combustibles » (-1,6%) et de « communication » (-0,4%) a atténué cette tendance haussière. Par rapport au mois d’avril 2022, les prix à la consommation se sont accrus de 9,0%."
19,"L’activité industrielle est marquée, en mars 2023, par une augmentation de 1,0% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. En variation annuelle, les prix de la production industrielle hors égrenage de coton ont bondi de 1,3% en mars 2023, sous l’effet de l’appréciation des prix des produits extractifs (+4,3%) et de ceux des produits manufacturiers (+0,4%)."
20,"Les prix des matériaux de construction ont baissé de 0,2% en juillet 2023, comparativement au mois précédent. Ce repli provient, principalement, de la diminution des prix des matériaux pour travaux d’électricité (-0,6%), des matériaux de base (-0,3%) ainsi que des matériaux de menuiserie (-0,3%). En variation annuelle, les prix des matériaux de construction ont chuté de 2,7%.   "
21,"Au mois de juin 2023, les exportations du Sénégal sont ressorties à 256,8 milliards de FCFA contre 301,9 milliards de FCFA au mois précédent, soit une baisse de 14,9%. Comparées au mois de juin 2022, les exportations se sont repliées de 25,0%. Leur cumul à fin juin 2023 s’est établi à 1 766,7 milliards de FCFA contre 1 718,1 milliards de FCFA pour la même période de 2022, soit une hausse de 2,8%."
22,"Au mois de juin 2023, les prix des produits à l’importation ont baissé de 0,2%, comparés au mois précédent. Par rapport au mois de juin 2022, les prix des produits importés ont chuté de 4,9%. Sur les six premiers mois de 2023, les produits achetés de l’extérieur se sont renchéris de 9,5%, en comparaison à ceux de la même période de 2022."
23,"Le coût de la construction des logements neufs à usage d'habitation a baissé de 0,2% au deuxième trimestre 2023, par rapport au trimestre précédent. Cette évolution résulte essentiellement du repli des prix des matériaux de construction (-0,8%). Toutefois, le renchérissement de la location du matériel (+2,4%), de la main d’œuvre (+1,3%) et des moyens de gestion (+1,1%) a amoindri cette baisse. En variation annuelle, il s’est accru de 1,7%."
24,"En juin 2023, la production industrielle hors égrenage de coton s’est améliorée de 6,1%  relativement à celle de la même période en 2022. Cet accroissement est imputable à la performance notée dans la production d’électricité, de gaz et d’eau (+22,5%), des industries extractives (+18,4%) et, dans une moindre mesure de l’industrie manufacturière (+0,4%). En revanche, la production des industries environnementales s’est légèrement détériorée sur la période sous revue (-0,4%). "
25, 
26,"Le présent Bulletin[1] résume les statistiques économiques et financières du mois de mai 2023 réparties en quatre grandes parties, à savoir le secteur primaire, le secteur secondaire, le secteur tertiaire et les autres statistiques"
27,"Le nombre d’employés dans le secteur moderne, hors administration publique, a progressé de 0,3% entre 2021 et 2022. Cette évolution résulte de l’augmentation des effectifs dans le commerce (+9,6%), la construction (+2,0%) et les services (+1,5%). En revanche, les emplois dans l’industrie se sont contractés (-5,1%) sur la période."
28,"Au mois sous revue, la production totale d’électricité[1] de la SENELEC est évaluée à 558,8 GWH[2] contre 522,2 GWH au mois précédent, soit une hausse de 6,9%. Ceci est en liaison avec la hausse simultanée de la production propre de la SENELEC (+7,3%) et des achats auprès des autres producteurs (+6,7%). Par rapport à mai 2022, la production totale d’électricité s’est accrue de 11,9%."
29,"Les prix des matériaux de construction ont baissé de 0,4% en juin 2023, comparativement au mois précédent. Ce repli est consécutif à celui des prix des matériaux de base (-0,6%), des matériaux de plomberie et sanitaire (-0,3%) ainsi que des matériaux de menuiserie (-0,2%). En       variation annuelle[1], les prix des matériaux de construction se sont contractés de 1,7%.   "
30,"Les prix de production des services d’hébergement et de restauration ont augmenté de 0,4% au troisième trimestre 2023, comparés à ceux du trimestre précédent, sous l’effet du renchérissement des services de restauration (+1,8%)."
31,"
Au courant du trimestre sous revu, le taux d’emploi1 qui mesure la part des personnes
en emploi parmi celles en âge de travailler est ressorti à 46,0%. Il s’est bonifié de 4,0
points de pourcentage par rapport au deuxième trimestre de 2022 (42,0%)."
32,"
II. Niveau d’emploi
Le niveau d’emploi est déterminé à travers le taux d’emploi1 qui mesure la part des
personnes en emploi parmi celles en âge de travailler. Au trimestre sous revu, il est
ressorti à 43,9%, indiquant une augmentation de 5,8 points de pourcentage par
rapport au premier trimestre de 2022 où il était estimé à 38,1%."
33,"Les prix de la production industrielle hors égrenage de coton ont augmenté de 1,6% en octobre 2023 comparativement à ceux du mois précédent. Cette situation est induite par le renchérissement des prix des produits manufacturés (+2,2%) et de ceux des produits des industries extractives (+0,8%). Cependant, les prix des produits des industries environnementales, ainsi que de l'électricité, eau et gaz n’ont pas connu de variation. "
34,"Les prix de la production industrielle hors égrenage de coton ont augmenté de 1,6% en octobre 2023 comparativement à ceux du mois précédent. Cette situation est induite par le renchérissement des prix des produits manufacturés (+2,2%) et de ceux des produits des industries extractives (+0,8%). Cependant, les prix des produits des industries environnementales, ainsi que de l'électricité, eau et gaz n’ont pas connu de variation. "
35,"Les prix des matériaux de construction ont baissé de 0,4% en octobre 2023, comparativement au mois précédent. Ce repli est consécutif à celui des prix des matériaux de plomberie et sanitaire (-0,6%), des prix des matériaux de base (-0,4%) ainsi que des matériaux de      menuiserie (-0,4%). En variation annuelle[1], les prix des matériaux de construction se sont contractés de 4,6%.   "
36,"Au mois d’août 2023, la production totale d’électricité[1] de la SENELEC a fléchi de 1,0% passant de 623,2 GWH[2] au mois précédent à 617,1 GWH. l’activité minière, suivie auprès des entreprises formelles, est caractérisée par le relèvement des productions en valeur du zircon (+19,6%), de l’or (+9,5%), du sel iodé (+4,9%) et de l’attapulgite (+4,4%), en variation mensuelle."
37,"Le coût de la construction des logements neufs à usage d'habitation a baissé de 0,2% au troisième trimestre 2023, par rapport au trimestre précédent."
38,"En septembre 2023, les prix des produits à l’importation se sont relevés de 2,0%, comparés au mois précédent. En septembre 2023, les prix des produits à l’importation se sont relevés de 2,0%, comparés au mois précédent. Les prix des produits à l’exportation se sont appréciés de 1,4% au mois de septembre 2023, par rapport au mois précédent"
39,"Au mois de septembre 2023, les exportations du Sénégal se sont établies à 214,0 milliards de FCFA contre 246,5 milliards de FCFA au mois précédent, soit un repli de 13,2%. Les importations du mois de septembre 2023 sont évaluées à 562,2 milliards de FCFA contre 679,2 milliards de FCFA au mois précédent, soit une réduction de 17,2%."
40,"En septembre 2023, la production industrielle hors égrenage de coton s’est relevée de 2,8%  relativement à celle de la même période en 2022. Sur les neuf premiers mois de 2023, la production industrielle a baissé de 1,1%, par rapport à la période correspondante de 2022."
41,"Les prix à la consommation du mois d’octobre 2023 sont globalement demeurés stables, comparés à ceux du mois précédent. Le renchérissement des services d’« enseignement » (+1,6%), des biens et services de « santé » (+0,8%), de « loisirs et culture » (+0,5%) et de « communication » (+0,4%) est contrebalancé par la diminution des prix des services de « transports » (-0,2%) et des « produits alimentaires et boissons non alcoolisées » (-0,1%). Par rapport au mois d’octobre 2022, les prix à la consommation se sont accrus de 2,4%."
42,"La population résidente au Sénégal, recensée en 2023 est de 18 032 473 habitants, dont 8 900 614 femmes (49,4%) et 9 131 859 hommes (50,6%)."
43,"Les prix des matériaux de construction ont baissé de 0,9% en septembre 2023, comparativement au mois précédent. Ce repli provient, principalement, de la baisse des prix des          matériaux de base (-1,4%) ainsi que des matériaux pour travaux d’électricité (-0,7%). En variation annuelle[1], les prix des matériaux de construction se sont repliés de 4,2%.   "
44,"L’activité industrielle est marquée, en septembre 2023, par une constance des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette situation est induite par le maintien des prix des produits des industries environnementales, ainsi que de l'électricité, eau et gaz. En outre, le renchérissement de 0,4 des prix des produits des industries extractives a été contrebalancé par le recul des prix des produits manufacturés (-0,1%)"
45,"En août 2023, les prix des produits à l’importation se sont repliés de 3,3%, comparés au mois précédent. Les prix des produits à l’exportation ont diminué de 1,0% au mois d’août 2023, par rapport au mois précédent."
46,"Au mois d’août 2023, les exportations du Sénégal se sont établies à 246,5 milliards de FCFA contre 274,1 milliards de FCFA au mois précédent, soit un repli de 10,1%.Les importations du mois d’août 2023 sont évaluées à 679,2 milliards de FCFA contre 609,5 milliards de FCFA au mois précédent, soit une augmentation de 11,4%."
47,"Au mois de juillet 2023, les prix des produits à l’importation se sont relevés de 0,5%, comparés au mois précédent."
48,"Les prix à la consommation du mois de septembre 2023 ont diminué de 0,3%, comparés à ceux du mois précédent. Cette évolution résulte, principalement, du repli des prix des « produits alimentaires et boissons non alcoolisées » (-0,7%), des « boissons alcoolisées, tabac et stupéfiants » (-0,3%) et des services de « restaurants et hôtels » (-0,3%). Toutefois, le renchérissement des services de « communication » (+1,2%), des « articles d'habillement et chaussures » (+0,3%), ainsi que des « biens et services divers » (+0,2%) ont amoindri cette tendance baissière. Par rapport au mois de septembre 2022, les prix à la consommation se sont accrus de 3,8%."
49,"Le nombre d’employés dans le secteur moderne, hors administration publique, s’est accru de 1,4% au deuxième trimestre 2023, comparativement à celui de la période correspondante de l’année précédente. le nombre d’employés salariés dans le secteur moderne hors administration publique est évalué à 340 641 contre 336 037 un an plus tôt, soit une progression de 1,4%"
50,"Les prix des matériaux de construction ont baissé de 0,3% en mai 2023, comparativement au mois précédent. Ce repli est consécutif à celui des prix des matériaux de base (-0,5%) et des matériaux de menuiserie (-0,2%). En variation annuelle[1], les prix des matériaux de construction sont restés stables.   "
51,"Au premier trimestre 2023, le nombre d’employés salariés dans le secteur moderne hors administration publique est évalué à 333 321 contre 339 611 un an plus tôt, soit une baisse de 1,9%. En revanche, les rémunérations globales ont progressé de 1,8% sur la même période. Concernant les heures hebdomadaires moyennes travaillées par employé, elles ont diminué sur la période (-0,5%).  "
52,"L’activité industrielle est marquée, en mai 2023, par un repli de 1,1% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette évolution est en relation, avec la régression des prix des produits des industries extractives (-2,4%) et manufacturés (-0,8%). Par ailleurs, une stabilité des prix des produits des industries environnementales, ainsi que de l'électricité, eau et gaz, est notée sur  la période sous revue."
53,"Au premier trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), s’est replié de 0,8%, par rapport au trimestre précédent. Ce résultat est imputable à la baisse des valeurs ajoutées des secteurs secondaire (-0,6%) et tertiaire (-0,1%) ainsi que des taxes nettes de subventions sur les produits (-10,0%). En revanche, le secteur primaire s’est renforcé de 3,3%"
54,"Le chiffre d’affaires des services d’hébergement et de restauration a augmenté de 42,0% au premier trimestre 2023, comparé à la même période de l’année précédente"
55,"Au mois d’avril 2023, les prix des produits à l’importation ont légèrement augmenté (+0,2%), comparés au mois précédent Les prix des produits à l’exportation ont augmenté de 2,6% au mois d’avril  2023, par rapport au mois précédent Les termes de l’échange sont ressortis à 0,95 au mois d’avril 2023 contre 0,93 au mois précédent"
56,"Le chiffre d’affaires dans l’industrie a diminué de 0,7% au premier trimestre 2023, comparé à celui de la même période de 2022, sous l’effet du repli de celui des industries extractives (-18,2%)."
57,"Au premier trimestre 2023, le chiffre d’affaires réalisé dans le secteur de la construction s’est amélioré de 23,0% relativement à celui du même trimestre de 2022. Cette évolution est en relation, principalement, avec le relèvement du chiffre d’affaires dans les sous-secteurs de la construction de bâtiments (+36,9%) et du génie civil (+20,1%)"
58,"Au mois d’avril 2023, les exportations du Sénégal se sont établies à 249,6 milliards de FCFA contre 327,6 milliards de FCFA au mois précédent, soit un repli de 23,8%. Comparées au mois d’avril 2022, les expéditions ont progressé de 7,6%. Les importations au mois d’avril 2023 sont évaluées à 476,6 milliards de FCFA contre 565,5 milliards de FCFA au mois précédent, soit une réduction de 15,7%. Comparées au mois d’avril 2022, les importations se sont repliées de 12,4%. Le solde de la balance commerciale s’est établi à -227,0 milliards de FCFA au mois d’avril 2023 contre -237,9 milliards de FCFA au mois précédent."
59,"En avril 2023, la production industrielle hors égrenage de coton s’est réduite de 5,1%  relativement à celle de la même période en 2022. Cette régression est essentiellement imputable à la contreperformance notée dans la production des industries extractives (-7,8%) et manufacturières (-6,7%). En revanche, la production d’électricité, de gaz et d’eau (+13,9%) s’est améliorée sur la période sous revue."
60,"Les prix des matériaux de construction ont évolué de 0,1% en octobre 2022, comparativement au mois précédent. L’effet de la hausse des prix des matériaux de menuiserie, des matériaux pour la peinture et ceux d’étanchéité a été atténuée par le repli des prix des matériaux de plomberie et sanitaire. En variation annuelle , les prix des matériaux de construction ont bondit de 9,9%."
61,"L’Indice Harmonisé des Prix à la Consommation (IHPC) du mois de novembre 2022 a augmenté de 0,2%, comparé à celui du mois précédent. Par rapport au mois de novembre 2021, les prix à la consommation se sont accrus de 14,1%. Selon l’origine, les prix des produits locaux sont restés stables, au moment où ceux des produits importés se sont relevés de 0,8% en novembre 2022, comparativement au mois précédent. En variation annuelle, ils se sont accrus, respectivement, de 15,7% et 9,3%."
62,"Les prix des matériaux de construction ont baissé de 0,4% en juin 2023, comparativement au mois précédent. Ce repli est consécutif à celui des prix des matériaux de base (-0,6%), des matériaux de plomberie et sanitaire (-0,3%) ainsi que des matériaux de menuiserie (-0,2%). En       variation annuelle[1], les prix des matériaux de construction se sont contractés de 1,7%.   "
63,"Au mois de mai 2023, les prix des produits à l’importation ont diminué de 4,4%, comparés au mois précédent."
64,"Au mois de mai 2023, les exportations du Sénégal se sont établies à 301,9 milliards de FCFA contre 249,6 milliards de FCFA au mois précédent, soit une hausse de 21,0%. "
65,"Au mois de mai 2023, les exportations du Sénégal se sont établies à 301,9 milliards de FCFA contre 249,6 milliards de FCFA au mois précédent, soit une hausse de 21,0%. "
66,"Selon les estimations du FMI, l’activité économique mondiale devrait ralentir à 2,8% [1] en 2023 après 3,4% en 2022. "
67,"Selon les estimations du FMI, l’activité économique mondiale devrait ralentir à 2,8% [1] en 2023 après 3,4% en 2022. "
68,"En mai 2023, la production industrielle hors égrenage de coton s’est améliorée de 13,0%  relativement à celle de la même période en 2022. Cet accroissement est imputable à la performance notée dans la production des industries extractives (+29,7%), d’électricité, de gaz et d’eau (+18,8%) et de l’industrie manufacturière (+8,3%). En revanche, la production des industries environnementales (-0,6%) s’est légèrement détériorée sur la période sous revue. "
69,"Les prix à la consommation du mois de juin 2023 ont augmenté de 1,1%, comparés à ceux du mois précédent. Cette évolution provient, principalement, de l’accroissement des prix des services de « loisirs et culture » (+3,0%), en liaison avec le renchérissement des frais de voyage à la Mecque, ainsi que des « produits alimentaires et boissons non alcoolisées » (+1,8%). Toutefois, le repli des prix des services de « communication » (-0,5%) et de « santé » (-0,6%) a atténué cette tendance haussière. Par rapport au mois de juin 2022, les prix à la consommation se sont accrus de 7,5%."
70,"En avril 2023, la production totale d’électricité[1] suivie par la SENELEC est évaluée à 522,8 GWH[2] contre 511,1 GWH au mois précédent, soit une augmentation de 2,3%."
71,"Le présent Bulletin[1] résume les statistiques économiques et financières du mois d’avril 2023 réparties en quatre grandes parties, à savoir le secteur primaire, le secteur secondaire, le secteur tertiaire et les autres statistiques. la partie intitulée « Autres statistiques » résume les données sur les entreprises nouvellement immatriculées au Numéro d’Identification National des Entreprises et Associations, la situation de l’emploi dans le secteur formel, l’Indice Harmonisé des Prix à la Consommation, le commerce extérieur et les statistiques financières. "
72,"Le présent Bulletin[1] résume les statistiques économiques et financières du mois d’octobre 2023 réparties en quatre grandes parties, à savoir le secteur primaire, le secteur secondaire, le secteur tertiaire et les autres statistiques."
73,"La production totale d’électricité[1] de la SENELEC, en octobre 2023, a augmenté de 12,1% (664,0 GWH[2] après 592,5 GWH) par rapport au mois de septembre 2023. Cette dynamique est portée par l’accroissement  des achats auprès des autres producteurs (+14,6%) ainsi que de sa propre production (+4,7%) sur la période."
74,"La croissance économique du Sénégal s’est ralentie en 2022 dans un contexte caractérisé par de fortes pressions inflationnistes. Cette décélération de l’activité économique est imputable à celle de la valeur ajoutée du secteur primaire. En particulier le sous-secteur agricole s’est contracté de 0,9% en 2022 en volume. En outre, ce ralentissement de l’activité économique s’est réalisé dans un contexte marqué par des tensions géopolitiques au niveau international et par une augmentation soutenue des prix. En effet, le niveau général des prix1 a augmenté de 8,7% en 2022."
75,"L’activité industrielle est marquée, en novembre 2023, par une augmentation de 0,4% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette situation est induite par le renchérissement des prix des produits des industries extractives (+1,5%). Toutefois, les prix des produits manufacturés, des industries environnementales, ainsi que de l'électricité, eau et gaz n’ont pas connu de variation. "
76,"Les exportations du Sénégal sont ressorties à 3 563,4 milliards de FCFA en 2022 contre 2 884,8 milliards de FCFA en 2021, soit une hausse de 23,5%. Les importations du Sénégal ont bondi de 40,4% en 2022 pour atteindre 7 549,4 milliards de FCFA contre 5 378,5 milliards de FCFA en 2021."
77,"Au troisième trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), a augmenté de 0,7%, par rapport au trimestre précédent. Par rapport à la même période de l’année 2022, le PIB réel du troisième trimestre de 2023 s’est accru de 4,5%. Le Produit Intérieur Brut nominal est estimé à 4 188,8 milliards de FCFA au troisième trimestre de 2023."
78,"La production des entreprises a bondi de 16,8% en 2022 après une évolution de +23,7% en 2021. En valeur absolue, elle s’est établie à 14 052,7 milliards FCFA en 2022 contre 12 028,1 milliards FCFA en 2021.
Cette dynamique de la production a induit une hausse de 15,3% de la valeur ajoutée (VA) passant de 3 110,7 milliards FCFA en 2021 à 3 587,0 milliards FCFA en 2022. Cependant, le taux de valeur ajoutée a légèrement baissé de 0,3 point en s’établissant à 25,5% en 2022.
Dans ce même sillage, le chiffre d’affaires des entreprises du secteur moderne est passé de 16 856,1 milliards FCFA en 2021 à 20 135,2 milliards FCFA en 2022, soit un bond de 22,0%."
79,"En octobre 2023, les produits à l’importation se sont renchéris de 3,0%, comparés au mois précédent. Cette hausse s’explique par le relèvement des prix des « produits minéraux » qui y ont contribué à +1,6 points de pourcentage, des « matériels de transport » (+0,7) et des « produits du règne végétal » (+0,5). Les prix des produits à l’exportation se sont dépréciés de 2,0% au mois d’octobre 2023, par rapport au mois précédent."
80,"En octobre 2023, la production industrielle hors égrenage de coton s’est relevée de 9,3% relativement à celle de la même période en 2022. Cet accroissement est imputable à la performance notée dans la production des industries extractives (+26,9%), d’électricité, de gaz et d’eau (+17,8%), des industries manufacturières (+2,3%) et des industries environnementales (+0,4%);"
